"Notes"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Clay County, TN"	"47027"	"2019"	"2019"	Suppressed	1469	Suppressed
	"Clay County, TN"	"47027"	"2020 "	"2020"	Suppressed	1484	Suppressed
	"Cocke County, TN"	"47029"	"2018"	"2018"	Suppressed	6029	Suppressed
	"Cocke County, TN"	"47029"	"2019"	"2019"	Suppressed	6222	Suppressed
	"Cocke County, TN"	"47029"	"2020 "	"2020"	Suppressed	6479	Suppressed
	"Coffee County, TN"	"47031"	"2018"	"2018"	Suppressed	7326	Suppressed
	"Coffee County, TN"	"47031"	"2019"	"2019"	Suppressed	7491	Suppressed
	"Coffee County, TN"	"47031"	"2020 "	"2020"	Suppressed	7720	Suppressed
	"Crockett County, TN"	"47033"	"2018"	"2018"	Suppressed	2008	Suppressed
	"Crockett County, TN"	"47033"	"2019"	"2019"	Suppressed	2028	Suppressed
	"Crockett County, TN"	"47033"	"2020 "	"2020"	Suppressed	2026	Suppressed
	"Cumberland County, TN"	"47035"	"2018"	"2018"	Suppressed	14330	Suppressed
	"Cumberland County, TN"	"47035"	"2019"	"2019"	Suppressed	14758	Suppressed
	"Cumberland County, TN"	"47035"	"2020 "	"2020"	Suppressed	15569	Suppressed
	"Davidson County, TN"	"47037"	"2018"	"2018"	20	65417	30.6
	"Davidson County, TN"	"47037"	"2019"	"2019"	19	67511	Unreliable
	"Davidson County, TN"	"47037"	"2020 "	"2020"	34	70080	48.5
	"Decatur County, TN"	"47039"	"2018"	"2018"	Suppressed	2048	Suppressed
	"Decatur County, TN"	"47039"	"2019"	"2019"	Suppressed	2104	Suppressed
	"Decatur County, TN"	"47039"	"2020 "	"2020"	Suppressed	2096	Suppressed
	"DeKalb County, TN"	"47041"	"2018"	"2018"	Suppressed	2931	Suppressed
	"DeKalb County, TN"	"47041"	"2019"	"2019"	Suppressed	3064	Suppressed
	"DeKalb County, TN"	"47041"	"2020 "	"2020"	Suppressed	3188	Suppressed
	"Dickson County, TN"	"47043"	"2018"	"2018"	Suppressed	6774	Suppressed
	"Dickson County, TN"	"47043"	"2019"	"2019"	Suppressed	7056	Suppressed
	"Dickson County, TN"	"47043"	"2020 "	"2020"	Suppressed	7243	Suppressed
	"Dyer County, TN"	"47045"	"2018"	"2018"	Suppressed	5079	Suppressed
	"Dyer County, TN"	"47045"	"2019"	"2019"	Suppressed	5166	Suppressed
	"Dyer County, TN"	"47045"	"2020 "	"2020"	Suppressed	5162	Suppressed
	"Fayette County, TN"	"47047"	"2018"	"2018"	Suppressed	6876	Suppressed
	"Fayette County, TN"	"47047"	"2019"	"2019"	Suppressed	7178	Suppressed
	"Fayette County, TN"	"47047"	"2020 "	"2020"	Suppressed	7393	Suppressed
	"Fentress County, TN"	"47049"	"2018"	"2018"	Suppressed	3280	Suppressed
	"Fentress County, TN"	"47049"	"2019"	"2019"	Suppressed	3400	Suppressed
	"Fentress County, TN"	"47049"	"2020 "	"2020"	Suppressed	3496	Suppressed
	"Franklin County, TN"	"47051"	"2018"	"2018"	Suppressed	6497	Suppressed
	"Franklin County, TN"	"47051"	"2019"	"2019"	Suppressed	6653	Suppressed
	"Franklin County, TN"	"47051"	"2020 "	"2020"	Suppressed	6881	Suppressed
	"Gibson County, TN"	"47053"	"2018"	"2018"	Suppressed	6548	Suppressed
	"Gibson County, TN"	"47053"	"2019"	"2019"	Suppressed	6649	Suppressed
	"Gibson County, TN"	"47053"	"2020 "	"2020"	Suppressed	6711	Suppressed
	"Giles County, TN"	"47055"	"2018"	"2018"	Suppressed	4552	Suppressed
	"Giles County, TN"	"47055"	"2019"	"2019"	Suppressed	4678	Suppressed
	"Giles County, TN"	"47055"	"2020 "	"2020"	Suppressed	4763	Suppressed
	"Grainger County, TN"	"47057"	"2018"	"2018"	Suppressed	3876	Suppressed
	"Grainger County, TN"	"47057"	"2019"	"2019"	Suppressed	3971	Suppressed
	"Grainger County, TN"	"47057"	"2020 "	"2020"	Suppressed	4108	Suppressed
	"Greene County, TN"	"47059"	"2018"	"2018"	10	11653	Unreliable
	"Greene County, TN"	"47059"	"2019"	"2019"	10	11908	Unreliable
	"Greene County, TN"	"47059"	"2020 "	"2020"	Suppressed	12189	Suppressed
	"Grundy County, TN"	"47061"	"2018"	"2018"	Suppressed	2191	Suppressed
	"Grundy County, TN"	"47061"	"2019"	"2019"	Suppressed	2204	Suppressed
	"Grundy County, TN"	"47061"	"2020 "	"2020"	Suppressed	2242	Suppressed
	"Hamblen County, TN"	"47063"	"2018"	"2018"	Suppressed	9126	Suppressed
	"Hamblen County, TN"	"47063"	"2019"	"2019"	Suppressed	9104	Suppressed
	"Hamblen County, TN"	"47063"	"2020 "	"2020"	Suppressed	9272	Suppressed
	"Hamilton County, TN"	"47065"	"2018"	"2018"	Suppressed	48257	Suppressed
	"Hamilton County, TN"	"47065"	"2019"	"2019"	15	49920	Unreliable
	"Hamilton County, TN"	"47065"	"2020 "	"2020"	25	51674	48.4
	"Hancock County, TN"	"47067"	"2018"	"2018"	Suppressed	1100	Suppressed
	"Hancock County, TN"	"47067"	"2019"	"2019"	Suppressed	1149	Suppressed
	"Hancock County, TN"	"47067"	"2020 "	"2020"	Suppressed	1158	Suppressed
	"Hardeman County, TN"	"47069"	"2018"	"2018"	Suppressed	3532	Suppressed
	"Hardeman County, TN"	"47069"	"2019"	"2019"	Suppressed	3616	Suppressed
	"Hardeman County, TN"	"47069"	"2020 "	"2020"	Suppressed	3633	Suppressed
	"Hardin County, TN"	"47071"	"2018"	"2018"	Suppressed	4572	Suppressed
	"Hardin County, TN"	"47071"	"2019"	"2019"	Suppressed	4553	Suppressed
	"Hardin County, TN"	"47071"	"2020 "	"2020"	Suppressed	4618	Suppressed
	"Hawkins County, TN"	"47073"	"2018"	"2018"	Suppressed	9408	Suppressed
	"Hawkins County, TN"	"47073"	"2019"	"2019"	Suppressed	9640	Suppressed
	"Hawkins County, TN"	"47073"	"2020 "	"2020"	Suppressed	9781	Suppressed
	"Haywood County, TN"	"47075"	"2018"	"2018"	Suppressed	2518	Suppressed
	"Haywood County, TN"	"47075"	"2019"	"2019"	Suppressed	2630	Suppressed
	"Haywood County, TN"	"47075"	"2020 "	"2020"	Suppressed	2679	Suppressed
	"Henderson County, TN"	"47077"	"2018"	"2018"	Suppressed	3971	Suppressed
	"Henderson County, TN"	"47077"	"2019"	"2019"	Suppressed	4109	Suppressed
	"Henderson County, TN"	"47077"	"2020 "	"2020"	Suppressed	4140	Suppressed
	"Henry County, TN"	"47079"	"2018"	"2018"	Suppressed	5838	Suppressed
	"Henry County, TN"	"47079"	"2019"	"2019"	Suppressed	5985	Suppressed
	"Henry County, TN"	"47079"	"2020 "	"2020"	Suppressed	5930	Suppressed
	"Hickman County, TN"	"47081"	"2018"	"2018"	Suppressed	3474	Suppressed
	"Hickman County, TN"	"47081"	"2019"	"2019"	Suppressed	3556	Suppressed
	"Hickman County, TN"	"47081"	"2020 "	"2020"	Suppressed	3599	Suppressed
	"Houston County, TN"	"47083"	"2018"	"2018"	Suppressed	1323	Suppressed
	"Houston County, TN"	"47083"	"2019"	"2019"	Suppressed	1329	Suppressed
	"Houston County, TN"	"47083"	"2020 "	"2020"	Suppressed	1374	Suppressed
	"Humphreys County, TN"	"47085"	"2018"	"2018"	Suppressed	2891	Suppressed
	"Humphreys County, TN"	"47085"	"2019"	"2019"	Suppressed	2943	Suppressed
	"Humphreys County, TN"	"47085"	"2020 "	"2020"	Suppressed	2984	Suppressed
	"Jackson County, TN"	"47087"	"2018"	"2018"	Suppressed	2075	Suppressed
	"Jackson County, TN"	"47087"	"2019"	"2019"	Suppressed	2129	Suppressed
	"Jackson County, TN"	"47087"	"2020 "	"2020"	Suppressed	2206	Suppressed
	"Jefferson County, TN"	"47089"	"2018"	"2018"	Suppressed	8537	Suppressed
	"Jefferson County, TN"	"47089"	"2019"	"2019"	Suppressed	8773	Suppressed
	"Jefferson County, TN"	"47089"	"2020 "	"2020"	Suppressed	9013	Suppressed
	"Johnson County, TN"	"47091"	"2018"	"2018"	Suppressed	3179	Suppressed
	"Johnson County, TN"	"47091"	"2019"	"2019"	Suppressed	3229	Suppressed
	"Johnson County, TN"	"47091"	"2020 "	"2020"	Suppressed	3334	Suppressed
	"Knox County, TN"	"47093"	"2018"	"2018"	45	56675	79.4
	"Knox County, TN"	"47093"	"2019"	"2019"	24	58777	40.8
	"Knox County, TN"	"47093"	"2020 "	"2020"	26	60995	42.6
	"Lake County, TN"	"47095"	"2018"	"2018"	Suppressed	868	Suppressed
	"Lake County, TN"	"47095"	"2019"	"2019"	Suppressed	875	Suppressed
	"Lake County, TN"	"47095"	"2020 "	"2020"	Suppressed	875	Suppressed
	"Lauderdale County, TN"	"47097"	"2018"	"2018"	Suppressed	3241	Suppressed
	"Lauderdale County, TN"	"47097"	"2019"	"2019"	Suppressed	3348	Suppressed
	"Lauderdale County, TN"	"47097"	"2020 "	"2020"	Suppressed	3337	Suppressed
	"Lawrence County, TN"	"47099"	"2018"	"2018"	Suppressed	5996	Suppressed
	"Lawrence County, TN"	"47099"	"2019"	"2019"	Suppressed	6102	Suppressed
	"Lawrence County, TN"	"47099"	"2020 "	"2020"	Suppressed	6191	Suppressed
	"Lewis County, TN"	"47101"	"2018"	"2018"	Suppressed	1941	Suppressed
	"Lewis County, TN"	"47101"	"2019"	"2019"	Suppressed	2004	Suppressed
	"Lewis County, TN"	"47101"	"2020 "	"2020"	Suppressed	2082	Suppressed
	"Lincoln County, TN"	"47103"	"2018"	"2018"	Suppressed	5049	Suppressed
	"Lincoln County, TN"	"47103"	"2019"	"2019"	Suppressed	5158	Suppressed
	"Lincoln County, TN"	"47103"	"2020 "	"2020"	Suppressed	5373	Suppressed
	"Loudon County, TN"	"47105"	"2018"	"2018"	Suppressed	11074	Suppressed
	"Loudon County, TN"	"47105"	"2019"	"2019"	Suppressed	11406	Suppressed
	"Loudon County, TN"	"47105"	"2020 "	"2020"	Suppressed	11923	Suppressed
	"McMinn County, TN"	"47107"	"2018"	"2018"	Suppressed	8025	Suppressed
	"McMinn County, TN"	"47107"	"2019"	"2019"	Suppressed	8192	Suppressed
	"McMinn County, TN"	"47107"	"2020 "	"2020"	Suppressed	8493	Suppressed
	"McNairy County, TN"	"47109"	"2018"	"2018"	Suppressed	4221	Suppressed
	"McNairy County, TN"	"47109"	"2019"	"2019"	Suppressed	4256	Suppressed
	"McNairy County, TN"	"47109"	"2020 "	"2020"	Suppressed	4237	Suppressed
